state,participation,total
Alabama,0.05,1165
Alaska,0.38,1080
Arizona,0.3,1116
Arkansas,0.03,1208
California,0.53,1055
Colorado,0.11,1201
Connecticut,1.0,1041
Delaware,1.0,996
District of Columbia,1.0,950
Florida,0.83,1017
Georgia,0.61,1050
Hawaii,0.55,1085
Idaho,0.93,1005
Illinois,0.09,1115
Indiana,0.63,1074
Iowa,0.02,1275
Kansas,0.04,1260
Kentucky,0.04,1247
Louisiana,0.04,1198
Maine,0.95,1012
Maryland,0.69,1060
Massachusetts,0.76,1107
Michigan,1.0,1005
Minnesota,0.03,1295
Mississippi,0.02,1242
Missouri,0.03,1271
Montana,0.1,1196
Nebraska,0.03,1253
Nevada,0.26,1116
New Hampshire,0.96,1052
New Jersey,0.7,1056
New Mexico,0.11,1138
New York,0.67,1052
North Carolina,0.49,1081
North Dakota,0.02,1256
Ohio,0.12,1149
Oklahoma,0.07,1047
Oregon,0.43,1108
Pennsylvania,0.65,1071
Rhode Island,0.71,1062
South Carolina,0.5,1064
South Dakota,0.03,1216
Tennessee,0.05,1228
Texas,0.62,1020
Utah,0.03,1238
Vermont,0.6,1114
Virginia,0.65,1102
Washington,0.64,1075
West Virginia,0.14,1086
Wisconsin,0.03,1291
Wyoming,0.03,1230
Alabama,0.06,1166
Alaska,0.43,1106
Arizona,0.29,1149
Arkansas,0.05,1169
California,0.6,1076
Colorado,1.0,1025
Connecticut,1.0,1053
Delaware,1.0,998
District of Columbia,0.92,977
Florida,0.56,1099
Georgia,0.7,1064
Hawaii,0.56,1010
Idaho,1.0,1001
Illinois,0.99,1019
Indiana,0.63,1074
Iowa,0.03,1265
Kansas,0.04,1265
Kentucky,0.04,1248
Louisiana,0.04,1210
Maine,0.99,1013
Maryland,0.76,1080
Massachusetts,0.8,1125
Michigan,1.0,1011
Minnesota,0.04,1298
Mississippi,0.03,1236
Missouri,0.04,1262
Montana,0.1,1198
Nebraska,0.03,1252
Nevada,0.23,1140
New Hampshire,0.96,1063
New Jersey,0.82,1094
New Mexico,0.16,1093
New York,0.79,1068
North Carolina,0.52,1098
North Dakota,0.02,1283
Oklahoma,0.08,1062
Ohio,0.18,1099
Oregon,0.48,1117
Pennsylvania,0.7,1086
Rhode Island,0.97,1018
South Carolina,0.55,1070
South Dakota,0.03,1240
Tennessee,0.06,1231
Texas,0.66,1032
Utah,0.04,1010
Vermont,0.64,1120
Virginia,0.68,1117
Washington,0.69,1081
West Virginia,0.28,999
Wisconsin,0.03,1294
Wyoming,0.03,1257
Alabama,0.07,1143
Alaska,0.41,1097
Arizona,0.31,1134
Arkansas,0.06,1141
California,0.63,1065
Colorado,1.0,1024
Connecticut,1.0,1046
Delaware,1.0,985
District of Columbia,0.94,975
Florida,1.0,999
Georgia,0.71,1058
Hawaii,0.54,1100
Idaho,1.0,993
Illinois,1.0,1013
Indiana,0.66,1080
Iowa,0.03,1244
Kansas,0.04,1241
Kentucky,0.04,1232
Louisiana,0.05,1200
Maine,0.99,1013
Maryland,0.82,1058
Massachusetts,0.81,1120
Michigan,1.0,1003
Minnesota,0.04,1284
Mississippi,0.03,1237
Missouri,0.04,1236
Montana,0.09,1199
Nebraska,0.03,1260
Nevada,0.2,1156
New Hampshire,0.95,1059
New Jersey,0.82,1090
New Mexico,0.18,1073
New York,0.79,1064
North Carolina,0.51,1100
North Dakota,0.02,1263
Ohio,0.19,1097
Oklahoma,0.22,963
Oregon,0.51,1112
Pennsylvania,0.7,1082
Rhode Island,1.0,995
South Carolina,0.68,1030
South Dakota,0.03,1268
Tennessee,0.07,1220
Texas,0.68,1022
Utah,0.04,1230
Vermont,0.66,1106
Virginia,0.68,1119
Washington,0.7,1074
West Virginia,0.99,943
Wisconsin,0.03,1283
Wyoming,0.03,1238
